eventuell,Ich komme eventuell etwas später.
ewig,Ich warte schon ewig auf mein neues Auto!
"der Experte, -n ",Ich verstehe ein bisschen was von Computern. Aber ich bin kein Experte.
"der Export, -e","1. Hier ist die Firma Schulz, Import und Export. 2. Sonja arbeitet in der Exportabteilung."
extra,1. Die Getränke kosten extra. 2. Warum sind Sie nicht gekommen?
extrem,Ich habe extra auf Sie gewartet. Die Prüfung war extrem schwer.
,
125,
"die Fabrik, -en",Mein Sohn arbeitet in einer Autofabrik.
"das Fach, -""er",1. Die Handtücher sind im obersten Fach links. 2. Welches Fach magst du in der Schule am liebsten?
der Fachmann ,Mein Bruder ist Computerfachmann.
die Fachleute (Pl.),Die Firmen suchen Fachleute für Maschinenbau.
"die Fähre, -n",Wir nehmen die Fähre über den Bodensee.
"fahren, fährt, fuhr, ist/hat gefahren",1. Wir sind mit dem Zug gefahren. 2. Fahr nicht so schnell. 3. Der Chef fährt einen Mercedes. 4. Soll ich dich nach Hause fahren?
"die Fahrbahn, -en ",Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.
"der Fahrer, -",1. Der Fahrer des Wagens war nicht verletzt. 2. Leonid ist von Beruf Busfahrer. 3. Bitte nicht mit dem Fahrer sprechen!
"die Fahrkarte, -n ",Fahrkarten bekommt man am Automaten.
"der Fahrplan, -""e",1. Der Fahrplan hat sich geändert. 2. Haben Sie schon den neuen Sommerfahrplan?
"das Fahrrad, -""er ",Ich fahre jeden Morgen mit dem Fahrrad zur Arbeit.
"die Fahrschule, -n","Wenn du den Führerschein machen willst, musst du in eine Fahrschule gehen."
"das Fahrzeug, -e",Wem gehört das Fahrzeug?
fair,"Ich finde, unsere Mannschaft hat sehr fair gespielt."
"fallen, fällt, fiel, ist gefallen",1. Das Glas ist auf den Boden gefallen. 2. In den Bergen ist schon Schnee gefallen. 3. Die Temperatur ist ganz plötzlich unter null gefallen.
"der Fall, -""e","1. Was würden Sie in diesem Fall tun? 2. Rufen Sie auf jeden Fall vorher noch einmal an. 3. Für den Fall, dass meine Mutter aus dem Krankenhaus kommt, bleibe ich zu Hause."
fällig,Die Rechnung ist Ende des Monats fällig.
falls,"Falls es regnet, machen wir kein Picknick."
falsch,"1. Tut mir leid, ich habe die falsche Nummer gewählt. 2. Meine Uhr geht falsch. 3. Was Sie da sagen, ist falsch."
"die Familie, -n ",Ich habe eine große Familie.
der Familienstand,Bei „Familienstand“ musst du „ledig“ ankreuzen.
"der Fan, -s",Ich bin kein Fan von lauter Musik.
"fangen, fängt, fing, hat gefangen",1. Das Kind hat den Ball gefangen. 2. Unsere Katze hat eine Maus gefangen.
"die Fantasie, - ",Mein Sohn malt sehr gut. Er hat viel Fantasie.
"die Farbe, -n",1. Welche Farbe magst du am liebsten? 2. Diese Farbe trocknet schnell.
farbig,"Ich brauche kein weißes, sondern farbiges Papier."
fast,1. Der Zucker ist fast alle. 2. Ich habe fast alles verstanden.
faul,1. Mein Sohn war am Anfang in der Schule sehr faul. Heute lernt er sehr fleißig. 2. Den Apfel kannst du nicht mehr essen. Der ist faul.
"faxen, faxt, faxte, hat gefaxt",Sie können mir den Brief auch faxen.
"das Fax, -e",Schicken Sie uns einfach ein Fax!
"fehlen, fehlt, fehlte, hat gefehlt","1. Auf dem Brief fehlt der Absender. 2. Hast du Kleingeld? Mir fehlt ein Euro. 3. In der Kasse fehlen 20 Euro. 4. Antonio war nicht in der Schule, er fehlt schon seit drei Tagen. 5. Was fehlt Ihnen? Haben Sie Schmerzen?"
"der Fehler, -","1. Ich glaube, da haben Sie einen Fehler gemacht. 2. In der Werkstatt haben sie den Fehler sofort gefunden."
"feiern, feiert, feierte, hat gefeiert",Wir haben gestern Karls Geburtstag gefeiert.
"die Feier, -n",Es war eine schöne Feier.
der Feierabend,1. Einen schönen Feierabend. 2. Wann haben Sie Feierabend?
"der Feiertag, -e ",1. Am Montag ist Feiertag. 2. Schöne Feiertage.
"das Fenster, -",Darf ich einen Moment das Fenster aufmachen?
die Ferien (Pl.),1. Wir machen im Sommer drei Wochen Ferien. 2. Endlich ist die Schule aus! Jetzt sind sechs Wochen Ferien.
"die Fernbedienung, -en",Hast du die Fernbedienung gesehen?
,
126,
"fernsehen, sieht fern, sah fern, hat ferngesehen",Meine Kinder dürfen abends nur eine Stunde fernsehen.
das Fernsehen,Was gibt es heute Abend im Fernsehen?
"der Fernseher, -",Der Fernseher ist schon wieder kaputt.
fertig,"1. Das Essen ist gleich fertig. 2. Wenn ich mit der Arbeit fertig bin, gehe ich nach Hause. 3. Bist du fertig? 4. Das war ein schlimmer Tag. Ich bin total fertig."
fest,"1. Mein Kollege glaubt fest daran, dass er die neue Stelle bekommt. 2. Als wir nach Hause kamen, haben die Kinder schon fest geschlafen. 3. Für die nächste Familienfeier gibt es noch keinen festen Termin. 4. Das Eis ist noch nicht fest genug."
"das Fest, -e","1. Wenn ich 18 werde, feiern wir ein großes Fest. 2. Frohes Fest!"
"die Festplatte, -n",Mein Computer hat eine große Festplatte.
"festhalten, hält fest, hielt fest, hat festgehalten",1. Halt dich gut fest. 2. Halt die Flasche gut fest.
"festlegen, legt fest, legte fest, hat festgelegt","1. Ich weiß noch nicht, ob ich das mache. Ich möchte mich noch nicht festlegen. 2. Habt ihr den Hochzeitstermin schon festgelegt?"
"festnehmen, nimmt fest, nahm fest, hat festgenommen",Die Polizei hat einen Mann festgenommen.
das Festnetz,1 Hast du einen Festnetzanschluss? 2. Für Anrufe ins Festnetz gibt es einen günstigen Tarif.
"festsetzen, setzt fest, setzte fest, hat festgesetzt",Die Ausländerbehörde hat diesen Termin festgesetzt.
"feststellen, stellt fest, stellte fest, hat festgestellt","1. Wir konnten den Absender des Briefes nicht feststellen. 2. Der Arzt hat mich untersucht, konnte aber nichts feststellen."
fett,1. Die Wurst ist mir zu fett. 2. Das ist aber ein fetter Kater!
das Fett,Man soll nicht so viel Fett essen.
feucht ,1. Die Wäsche ist noch feucht. 2. Es ist heute feucht draußen.
das Feuer,1. Der Schaden durch das Feuer war sehr groß. 2. Haben Sie Feuer? Ist das Feuerzeug neu?
"das Feuerzeug, -e die Feuerwehr, -en",Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.
das Fieber ,Plötzlich hat meine Tochter hohes Fieber bekommen.
"die Figur, -en",1. Lars hat eine gute Figur. 2. Bei diesem Spiel hat jeder Spieler vier Figuren.
"der Film, -e",1. Bis wann können Sie den Film entwickeln? 2. Den Film musst du dir unbedingt ansehen.
"finanzieren, finanziert, finanzierte, hat finanziert","Ich weiß nicht, wie ich das Auto finanzieren soll."
finanziell,Finanziell geht es meinem Neffen jetzt besser.
"finden, findet, fand, hat gefunden",1. Mein Onkel hat eine gute Arbeit gefunden. 2. Ich kann meinen Schlüssel nicht finden. 3. Luigi finde ich sehr nett.
"der Finger, -",Alessandro hat sich in den Finger geschnitten.
"die Firma, Firmen ",Seit wann arbeiten Sie bei dieser Firma?
"der Fisch, -e",1. In diesem See gibt es kaum noch Fische. 2. Fisch esse ich lieber als Fleisch.
fit,Ich halte mich durch Sport fit.
die Fitness,Ich tue viel für meine Fitness.
flach,1. Für die Arbeit brauche ich flache Schuhe. 2. An dieser Stelle ist der See sehr flach.
"die Fläche, -n ",Unsere Wohnung hat eine Wohnfläche von 100 m2.
"die Flasche, -n",1. Wo kann man die leeren Flaschen zurückgeben? 2. Eine Flasche Bier bitte.
"der Fleck, -en ",Du hast einen Fleck auf der Bluse.
das Fleisch,Fleisch mag ich nicht.
fleißig,Pamela ist wirklich fleißig. Sie macht immer ihre Hausaufgaben.
flexibel,Meine Arbeitszeit ist flexibel.
"fliegen, fliegt, flog, ist geflogen",1. Der Vogel ist auf einen Baum geflogen. 2. Diese Maschine fliegt direkt nach New York. 3. Ich bin nach Berlin geflogen.
"fliehen, flieht, floh, ist geflohen",Der Einbrecher ist sofort geflohen.
die Flucht,Der Einbrecher war schon auf der Flucht.
"fließen, fließt, floss, ist geflossen",Dieser Fluss fließt in die Nordsee.
,
127,
fließend,1. Mein Kollege spricht fließend Deutsch. 2. Ich hatte nur ein Zimmer mit fließendem Wasser.
"der Flug, -""e ",Ich habe den Flug für Sie gebucht.
"der Flughafen, -""",1. Der Flughafen liegt 30 km außerhalb. 2. Kannst du mich zum Flughafen bringen? 
"das Flugzeug, -e ",Das Flugzeug ist gerade gelandet.
"der Flur, -e", Warten Sie bitte auf dem Flur.
"der Fluss, -""e ", Wie heißt dieser Fluss?
"die Flüssigkeit, -en",1. Dieses Medikament muss man mit viel Flüssigkeit einnehmen.
"folgen, folgt, folgte, ist gefolgt",1. Es folgen die Nachrichten. 2. Folgen Sie der Reiseleiterin.
"die Folge, -n","Wenn Sie weiter so spät kommen, hat das Folgen."
folgend,1. Mehr Informationen auf den folgenden Seiten. 2. Sie müssen folgende Schulbücher kaufen.
"fordern, fordert, forderte, hat gefordert",
"die Forderung, -en",Alles wird teurer. Wir fordern deshalb von unserer Firma mehr Lohn.
"fördern, fördert, förderte, hat gefördert",Die Forderung ist 10 % mehr Lohn. Das BAMF fördert diesen Kurs.
"die Förderung, -en ",Für das Projekt bekommen wir eine Förderung von der Stadt.
"die Form, -en",1. Diese Schuhe haben eine schöne Form.2. Ich möchte für den Geburtstag einen Kuchen backen. Kannst du mir eine Backform leihen?
"das Formular, -e ",Füllen Sie bitte dieses Formular aus.
"die Fortbildung, -en",Ich möchte nächstes Jahr in meinem Beruf eine Fortbildung machen.
"der Fortschritt, -e",Ihre Kinder haben im Deutschen große Fortschritte gemacht.
"fortsetzen, setzt fort, setzte fort, hat fortgesetzt",Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.
"die Fortsetzung, -en",Fortsetzung folgt. 
"fotografieren, fotografiert, fotografierte, hat fotografiert",Ich fotografiere gern.
"das Foto, -s ",Können Sie dieses Foto vergrößern?
"der Fotoapparat, -e",Ich möchte mir einen Fotoapparat kaufen.
"die Fotografie, -n",Ich interessiere mich für Fotografie.
"fragen, fragt, fragte, hat gefragt","1. Darf ich Sie etwas fragen? 2. Hat jemand nach mir gefragt? 3. Ich frage mich, ob das richtig war."
"die Frage, -n",1. Ich habe Ihre Frage leider nicht verstanden. 2. Das kommt gar nicht infrage!
"die Frau, -en","1. In meinem Deutschkurs sind mehr Frauen als Männer. 2. Ist Ihre Frau berufstätig? 3. Guten Tag, Frau Müller!"
frech,Du darfst in der Schule nicht so frech sein.
frei,"1. Ist dieser Platz noch frei? 2. Morgen haben wir frei. 3. Eintritt frei. 4. Ich trinke nur alkoholfreies Bier. 5. Dieses Medikament ist rezeptfrei. 6. Jetzt ist frei, du kannst telefonieren. 7. Sie können Ihren Arzt frei wählen."
die Freiheit,Wir alle wünschen uns ein Leben in Freiheit.
die Freizeit,In meiner Freizeit höre ich gern Musik.
freiwillig,Manchmal bleibe ich freiwillig länger im Büro.
fremd ,1. Ich reise gern in fremde Länder. 2. Ich bin fremd hier.
"die Fremdsprache, -n",1. Wie viele Fremdsprachen kannst du? 2. Für diese Stelle braucht man gute Fremdsprachenkenntnisse.
"fressen, frisst, fraß, hat gefressen",Hat der Hund schon etwas zu fressen bekommen?
"freuen sich, freut sich, freute sich, hat sich gefreut","1. Es freut mich, dass alles so gut geklappt hat. 2. Ich habe mich über Ihr Geschenk sehr gefreut. 3. Ich freue mich schon auf meinen nächsten Urlaub."
die Freude,Diese Arbeit macht mir viel Freude.
"der Freund, -e",Ich sehe meine Freunde nur am Wochenende.
freundlich,1. Er hat uns sehr freundlich begrüßt. 2. Der Mann ist sehr freundlich zu mir. 3. Mit freundlichen Grüßen
"die Freundschaft, -en",Deine Freundschaft ist mir sehr wichtig.
"frieren, friert, fror, hat gefroren","1. Wenn Sie frieren, mache ich das Fenster wieder zu. 2. Heute Nacht hat es gefroren."
frisch,1. Das Brot ist noch ganz frisch. 2. Die Handtücher sind frisch gewaschen. 3. Ich muss mal an die frische Luft.
,
128,
"der Friseur, -e ",1. Hast du einen guten Friseur? 2. Meine Tochter will Friseurin werden.
"die Frist, -en",Die Frist ist abgelaufen.
befristet,1. Ihre Aufenthaltserlaubnis ist befristet. 2. Die Arbeitserlaubnis ist unbefristet.
froh,"1. Ich bin froh, dass alles so gut geklappt hat. 2. Frohes Fest! "
"die Frucht, -e",Welche Früchte kann man essen?
früh,1. Hier ist schon am frühen Morgen starker Verkehr. 2. Mein Vater arbeitet von früh bis spät. 3. Ich bin heute sehr früh aufgestanden. 4. Wir sind eine halbe Stunde zu früh gekommen. 5. Wecken Sie mich bitte morgen früh um 6 Uhr.
früher/früher-,1. Früher habe ich in Berlin gewohnt. 2. Wir nehmen den früheren Zug.
"frühstücken, frühstückt, frühstückte, hat gefrühstückt",Haben Sie schon gefrühstückt?
das Frühstück,1. Wir sitzen gerade beim Frühstück. 2. Sollen wir Ihnen das Frühstück aufs Zimmer bringen?
"fühlen, fühlt, fühlte, hat gefühlt","1. Wie fühlen Sie sich? 2. Fühl mal, ob das Wasser nicht zu heiß ist. 3. Ich fühle mich wohl hier."
"führen, führt, führte, hat geführt",1. Der Meister führt uns durch den Betrieb.2. Frau Meyer führt den Betrieb schon seit zehn Jahren.3. Nach 20 Minuten führte unsere Mannschaft 2 : 0. 4. Die Straße führt direkt zum Bahnhof. 5. Mein Kollege hat einen Prozess gegen den Vermieter geführt.
"der Führerschein, -e",1. Mein Bruder hat erst vor einem halben Jahr den Führerschein gemacht.2. Meine Frau hat keinen Führerschein.
"die Führung, -en",1. Die nächste Führung beginnt um 15 Uhr. 2. Bayern München liegt in Führung.
"das Fundbüro, -s",Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.
"funktionieren, funktioniert, funktionierte, hat funktioniert","1. Können Sie mir bitte mal zeigen, wie der Automat funktioniert?2. Unsere Ehe funktioniert nicht mehr."
für,"1. Ist Post für mich da? 2. Ich habe die Schlüssel für meineWohnung verloren. 3 Gibt es hier einen Sportverein für Jugendliche?4. Diese alten Möbel haben wir für 100 Euro bekommen.
5. Für einen Anfänger spricht mein Nachbar sehr gut Deutsch.
6. Du kannst nicht einkaufen gehen? Ich kann es für dich machen.
7. Für mich ist das ein schwerer Fehler. 8. Wir haben die Wohnung für ein
Jahr gemietet."
furchtbar,1. Ich hatte mein Geld vergessen. Das war mir furchtbar unangenehm. 2. Dennis hat furchtbare Schmerzen.
"der Fuß, -""e",1. Thomas hat sich den linken Fuß gebrochen.2. Sind Sie zu Fuß gekommen?
"der Fußball, -""e",1. Hans wünscht sich zu Weihnachten einen neuen Fußball.2. Spielt ihr gerne Fußball? 
"der Fußgänger, - ",Dieser Weg ist nur für Fußgänger.
"die Fußgängerzone, -n",Wir treffen uns um 15 Uhr in der Fußgängerzone.
,
"die Gabel, -n ",Wir brauchen bitte noch eine Gabel.
"der Gang, ""-e",1. Bitte warten Sie draußen im Gang. 2. Schalten Sie bitte jetzt in den dritten Gang. 3. Was möchten Sie als ersten Gang? Suppe oder Salat?
ganz,1. Ich habe den ganzen Tag noch nichts gegessen.  2. Den Zahnarzttermin habe ich ganz vergessen. 3. Ich finde Janis ganz nett. 4. Am Montag ist hier Ruhetag. Das weiß ich ganz sicher. 5. Gott sei Dank ist meine Brille noch ganz.
gar,1. Die Kartoffeln sind noch nicht gar. 2. Du räumst nie dein Zimmer auf. – Das ist gar nicht wahr. 
"die Garage, -n",Hier ist eine Garage zu vermieten.
"garantieren, garantiert, garantierte, hat garantiert","Ich kann Ihnen nicht garantieren, dass das Gerät nächste Woche fertig ist."
die Garantie ,Auf die Waschmaschine haben Sie ein Jahr Garantie.
"die Garderobe, -n","1. Die Mäntel bitte an der Garderobe abgeben. 2. Bitte, achten Sie auf Ihre Garderobe."
"der Garten, -""",Wir haben einen schönen großen Garten.
,
129,
das Gas ,1. Wir kochen mit Gas. 2. Gib Gas! Die Ampel ist grün.
"der Gast, -""e",1. Wir haben heute Abend Gäste. 2. Der Gast hat sich über das Essen beschwert.
"die Gaststätte, -n",Ich arbeite seit einem Monat in einer Gaststätte.
"das Gebäude, -",In diesem Gebäude sind nur Büros.
"geben, gibt, gab, hat gegeben",1. Geben Sie mir bitte eine Quittung! 2. Können Sie mir etwas zum Schreiben geben? 3. Der Arzt hat mir eine Spritze gegeben. 4. Was gibt es im Fernsehen? 5. Es gibt bald Regen.
das Gebäck,Das Gebäck ist ganz frisch.
"geboren werden, wird geboren, wurde geboren, ist geboren worden/ geboren sein","1. Wann und wo sind Sie geboren? 2. Sind Sie Silvia Schulz, geborene Angeloni? 3. Emil wurde um 03.47 Uhr geboren."
"gebrauchen, gebraucht, gebrauchte, hat gebraucht",1. Wir können diese Möbel gut gebrauchen. 2. Ich habe den Wagen gebraucht gekauft. 3. Ich suche eine gebrauchte Waschmaschine.
"die Gebrauchsanweisung, -en",Lesen Sie bitte zuerst die Gebrauchsanweisung.
"die Gebühr, -en ",Die Gebühr liegt jährlich bei 60 Euro.
"die Geburt, -en",Sie müssen die Geburt Ihres Kindes beim Standesamt melden.
"der Geburtstag, -e",Herzlichen Glückwunsch zum Geburtstag!
die Geduld ,Bitte haben Sie etwas Geduld.
geehrt ,"Sehr geehrte Damen und Herren, ..."
geeignet sein,Dieses Spiel ist nicht für sehr kleine Kinder geeignet.
"die Gefahr, -en ",Betreten auf eigene Gefahr.
die Lebensgefahr,"Achtung, Lebensgefahr!"
gefährlich,"1. Achtung, hier ist eine gefährliche Kurve! 2. Du darfst nicht bei Rot über die Straße gehen. Das ist gefährlich."
"gefallen, gefällt, gefiel, hat gefallen",1. Wie gefällt es Ihnen hier? 2. Der Pullover gefällt mir gut.
"gefallen lassen, lässt gefallen, ließ gefallen, hat gefallen lassen",Das würde ich mir nicht gefallen lassen.
"das Gefängnis, -se ",Er wurde zu fünf Jahren Gefängnis verurteilt.
"das Gefühl, -e","Ich glaube, ich schaffe die Prüfung. Ich habe ein gutes Gefühl."
gegen,1. Ich bin gegen einen Baum gefahren. 2. Hier dürfen Sie nicht rauchen. Das ist gegen die Vorschrift. 3. Haben Sie ein Mittel gegen Grippe? 4. Wir liefern nur gegen bar. 5. Ich bin gegen 14 Uhr wieder da. 6. Ich bin gegen diesen Vorschlag. 7. Wer spielt gegen wen?
"die Gegend, -en",1. Der Schwarzwald ist eine sehr schöne Gegend.2. Das Ordnungsamt muss hier in der Gegend sein.
"der Gegenstand, -""e",1. Sie dürfen nur persönliche Gegenstände mitnehmen. 2. Eine Durchsage der Polizei: Auf der A 8 liegen Gegenstände auf der Fahrbahn.
gegenüber,1. Das Geschäft liegt direkt gegenüber der Post.2. Mir gegenüber war der Polizist sehr freundlich.
"das Gehalt, -""er",Ich bin mit meinem Gehalt zufrieden.
geheim,Das ist geheim. Du darfst es niemandem sagen.
"das Geheimnis, -se",Soll ich dir ein Geheimnis sagen? Meine Schwester heiratet nächsten Monat.
"gehen, geht, ging, ist gegangen","1. Ich gehe jeden Morgen zu Fuß zur Arbeit.2. Meine Tochter geht noch aufs Gymnasium.3. Ich muss jetzt leider gehen. 4. Ein Freund von mir geht ins Ausland. 5. Der nächste Zug geht erst in zwei Stunden. 6. Am Anfang ging alles ganz gut. 7. Geht Ihre Uhr richtig? 8. Ich brauche schnell ein Visum. Geht das bis morgen? 9. Der Mantel geht nicht mehr in den Koffer. 10. Das Fenster geht auf die Straße. 11. Geht es hier zum Zentrum? 12. Wie geht es Ihnen heute? 13. Ist das sehr teuer? – Es geht. 14. Um was geht es denn? 15. Warum geht das Licht nicht? 16. Ich weiß nicht, wie das geht. 17. Ich ruf jetzt den Chef an. Das geht (doch) nicht! "
"gehören, gehört, gehörte, hat gehört",Gehört Ihnen das Haus?
,
,
gelb,1. Deine gelbe Jacke gefällt mir. 2. Die Ampel zeigt Gelb. 3. Die Blätter werden schon gelb.
das Geld,1. Ich habe nicht genug Geld dabei. 2. Ich muss Geld verdienen.
das Taschengeld,Wie viel Taschengeld bekommen Ihre Kinder?
"die Gelegenheit, -en",Ich gebe dir das Geld bei Gelegenheit zurück.
"gelingen, gelingt, gelang, ist gelungen","Es ist mir gelungen, meinen Chef zu überzeugen."
"gelten, gilt, galt, hat gegolten",1. Mein Pass gilt noch ein Jahr. 2. Bitte diesen Zettel gut aufheben. Er gilt als Garantie.
gemeinsam,1. Du musst die Wohnung renovieren? Ich helfe dir. Wir können das gemeinsam machen. 2. Wir haben die Garage gemeinsam mit dem Nachbarn.
das Gemüse,Wir kaufen das Gemüse direkt beim Bauern.
gemütlich,1. Wir haben eine sehr gemütliche Wohnung. 2. Es ist sehr gemütlich bei dir.
genau,"1. Haben Sie die genaue Zeit? 2. Sind Sie sicher, dass heute Ruhetag ist? – Ja, das weiß ich genau. 3. Die Uhr geht genau. 4. Es ist genau acht Uhr."
genauso,Katarina sieht genauso aus wie ihre Schwester.
genug,1. Es ist noch genug Suppe da. 2. Ich habe jetzt lange genug gewartet. 3. Ich verdiene nicht genug.
"die Genehmigung, -en",Hier soll ein neuer Supermarkt hin. Die Genehmigung zum Bauen hat der Besitzer schon.
"genügen, genügt, genügte, hat genügt",Wie viele Zimmer brauchen Sie? – Mir genügt eine 2-Zimmer- Wohnung.
das Gepäck,Ich habe mein Gepäck am Bahnhof gelassen.
gerade,1. Das Bild hängt nicht gerade. 2. Kannst du später noch mal anrufen? Wir sind gerade beim Essen.
geradeaus,Fahren Sie geradeaus bis zur nächsten Kreuzung.
"das Gerät, -e",Ich kaufe meine Elektrogeräte immer gebraucht. Das ist viel billiger.
gerecht,Andere bekommen für diese Arbeit mehr Lohn. Das finde ich nicht gerecht.
"das Gericht, -e","1. Mein Lieblingsgericht ist Pizza. 2. Wenn ich das Geld nicht bekomme, gehe ich vor Gericht."
"die Gerichtsverhandlung, -en",Ich hatte letzten Monat einen Unfall. Morgen ist die Gerichtsverhandlung.
gering,"1. Unsere Mannschaft hatte nur eine geringe Chance. 2. Wenn Sie ein geringes Einkommen haben, zahlen Sie nur wenig Steuern."
gern/gerne,1. Ich helfe Ihnen gern. 2. Kaffee oder Tee? – Ich möchte gerne einen Tee. 3. Sehr gern trinke ich Kaffee.
gesamt-/Gesamt- ,"1. Die gesamte Bevölkerung ist dagegen. 2. z. B. Gesamtgewicht, Gesamtsumme"
"das Geschäft, -e","1. Die Geschäfte schließen um 18.30 Uhr. 2. Wissen Sie, wo hier ein Schuhgeschäft ist?"
die Geschäftsleute,In meiner Familie sind viele Geschäftsleute.
"geschehen, geschieht, geschah, ist geschehen",Vielen Dank für Ihre Hilfe. – Gern geschehen.
"das Geschenk, -e ",Vielen Dank für das Geschenk.
"die Geschichte, -n",1. Ich interessiere mich nicht für Geschichte.2. Abends erzähle ich meinen Kindern immer eine Geschichte.
"das Geschlecht, -er",Bitte kreuzen Sie an: Geschlecht: weiblich/männlich.
geschieden ,Ich bin seit drei Jahren geschieden.
das Geschirr,Für die Geburtstagsfeier brauche ich Geschirr für zwölf Personen.
der Geschmack,Ich möchte bitte Kaugummi mit Erdbeergeschmack.
"die Geschwindigkeit, -en",Das Auto fuhr mit zu hoher Geschwindigkeit.
"die Geschwindigkeitsbeschränkung, -en",Bitte beachten Sie die Geschwindigkeitsbeschränkungen.
die Geschwister (Pl.) ,Wir waren zu Hause sechs Geschwister.
"die Gesellschaft, -en",1. Michael will die Gesellschaft verändern. 2. Meine Frau arbeitet bei einer Versicherungsgesellschaft. 3. Ich fühle mich in Gesellschaft am wohlsten.
"das Gesetz, -e ",Das Parlament hat ein neues Gesetz beschlossen.
"das Gesicht, -er",1. Wasch dir bitte das Gesicht. 2. Mach doch kein so trauriges Gesicht!
gespannt,"Ich bin gespannt, wer bei diesem Spiel gewinnt."
,
,
"das Gespräch, -e",1. Herr Müller ist gerade in einem Gespräch. 2. Ich erwarte ein Gespräch aus Berlin.
gestern,Ich bin erst gestern zurückgekommen.
gesund,1. Ich hatte Grippe. Jetzt bin ich wieder gesund. 2. Zu viel Zucker ist nicht gesund.
die Gesundheit,1. Sie müssen mehr auf Ihre Gesundheit achten. 2. Gesundheit! Sind Sie erkältet?
"das Getränk, -e",1. Besorgst du bitte die Getränke? 2. Bitte die Getränkekarte! 3. Mein Lieblingsgetränk ist Tomatensaft.
getrennt leben ,Ich lebe getrennt von meiner Frau. 
"die Gewerkschaft, -en ",Bist du Mitglied in einer Gewerkschaft?
"das Gewicht, -e",1. Wie teuer ist das Päckchen? – Das hängt vom Gewicht ab. 2. Sie dürfen Gepäck bis zu einem Gewicht von 15 kg mitnehmen.
"gewinnen, gewinnt, gewann, hat gewonnen",1. Mein Mann hat im Lotto gewonnen. 2. Unsere Mannschaft hat gewonnen.
"der Gewinn, -e ",Ich habe bei einem Ratespiel mitge- macht. Der Hauptgewinn ist ein Auto.
das Gewissen,Ich habe deinen Geburtstag vergessen. Ich habe ein ganz schlechtes Gewissen.
"das Gewitter, -",Es wird gleich ein Gewitter geben.
"gewöhnen, gewöhnt, gewöhnte, hat gewöhnt/ ist gewöhnt","1. Wir haben uns an das Leben hier gewöhnt. 2. Ich bin daran gewöhnt, früh aufzustehen."
gewöhnlich,Um die Zeit ist mein Onkel gewöhnlich zu Hause.
gewohnt,"Ich bin gewohnt, früh ins Bett zu gehen."
"das Gewürz, -e",Von den scharfen Gewürzen bekommt man Durst.
"gießen, gießt, goss, gegossen",Es hat nicht geregnet. Ich muss meine Blumen gießen.
"das Gift, -e","Vorsicht, Gift!"
giftig,"Vorsicht, das ist giftig!"
"die Gitarre, -n ",Ich spiele Gitarre.
"das Glas, -""er","1. Vorsicht, die Kanne ist aus Glas! 2. Eine Flasche Mineralwasser und zwei Gläser bitte! 3. Ein Glas Bier bitte."
glatt,Fahr vorsichtig! Es ist glatt.
"glauben, glaubt, glaubte, hat geglaubt","1. Ich glaube, der Chef ist heute nicht im Büro. 2. Bitte glauben Sie mir. Ich bin nicht zu schnell gefahren."
gleich,"1. Ich komme gleich. 2. Wir sind gleich alt. 3. Es ist mir ganz gleich, was Sie von mir denken. 4. Mein Nachbar ist immer gleich beleidigt. 5. Wir sind am gleichen Tag geboren."
gleichfalls,"Schöne Feiertage! – Danke, gleichfalls."
gleichberechtigt,Mann und Frau sind gleichberechtigt.
gleichzeitig,Ich kann nicht alles gleichzeitig machen.
"das Gleis, -e ",Der Zug fährt heute von Gleis sieben ab.
das Glück,1. Du hast dich nicht verletzt? Da hast du Glück gehabt. 2. Viel Glück bei der Prüfung! 3. Es hat geregnet. Zum Glück hatte ich einen Regenschirm dabei.
glücklich,1. Meine Schwester hat geheiratet und ist sehr glücklich. 2. Ich wünsche Ihnen ein glückliches neues Jahr. 3. Ich bin glücklich verheiratet.
"der Glückwunsch, -""e ",Herzlichen Glückwunsch zum Geburtstag!
das Gold,"Ist der Ring aus Gold? Nein, er ist nur vergoldet."
"der Gott, -""er ",1. Gott sei Dank ist dir nichts passiert. 2. Glaubst du an Gott?
"das Gras, -""er",Es ist sehr trocken. Im Garten ist das Gras schon ganz braun.
"gratulieren, gratuliert, gratulierte, hat gratuliert",Ich gratuliere euch zur Geburt eurer Tochter.
gratis,"Diese Reparatur kostet Sie gar nichts, wir machen das gratis für Sie."
grau,1. Ich habe mir einen grauen Anzug gekauft. 2. Der Himmel ist heute ganz grau. 3. Ich bekomme schon die ersten grauen Haare. 
"greifen, greift, griff, hat gegriffen",Greifen Sie doch zu!
"die Grenze, -n",An der Grenze musst du deinen Ausweis zeigen.
"grillen, grillt, grillte, hat gegrillt",Heute wollen wir im Garten grillen.
,
,
der Grill,Kannst du mir deinen Grill leihen? Wir wollen am Wochenende ein Picknick machen.
die Grippe,Ich habe eine Grippe und kann leider nicht kommen.
groß,"1. Wir haben einen großen Garten. 2. Wie groß sind Sie? 3. Die Jacke ist mir zu groß. 4. Wenn die Kinder groß sind, haben wir  wieder mehr Zeit. 5. Ich habe keinen großen Hunger."
