die E-Mail, -s;correo m electrónico,e-mail m;Ich schicke dir morgen eine E-Mail.
empfangen, empfängt, empfing, hat empfangen;recibir,recibir, acoger;1. Wir können mit Satellitenantenne über 30 Programme empfangen. 2. Meine Schwiegereltern haben mich ganz herzlich empfangen.
"der Empfang, -""e";recepción f,acogida f,recibimiento m;1. Bitte den Empfang bestätigen! 2. Ich bin mit dem Fernseher nicht zufrieden. Der Empfang ist sehrschlecht. 3. Zur Firmeneröffnung bitten wir zu einem kleinen Empfang. Was können Sie mir denn empfehlen?
empfehlen, empfiehlt, empfahl, hat empfohlen;recomendar;Ich rufe auf Empfehlung von Herrn Weber an.
die Empfehlung, -en;recomendación f,saludo m respetuoso;1. Der Straße endet hier. 2. Das Arbeitsverhältnis endet im Mai.
enden, endet, endete, hat geendet;terminar, acabar,vencer;1. Ich wohne am Ende der Straße. 2. Die nächste Prüfung findet Ende August statt. 3. Rinaldo ist Ende Fünfzig. 4. Am Dienstag gehen die Ferien zu Ende.
das Ende;final m,término m,fin m,extremo m,punta f;1. Damit ist das Problem endgültig gelöst. 2. Der endgültige Termin steht noch nicht fest. 3. Das Ergebnis ist noch nicht endgültig.
endgültig;definitivo;1. Endlich haben wir eine schöne Wohnung gefunden. 2. Haben Sie sich nun endlich entschieden?
endlich;limitado,finito,por fin, finalmente;1. Wir müssen Energie sparen. 2. Abends habe ich keine Energie mehr, Sport zu machen.
die Energie, -n;energía f;1. Die Jacke ist mir zu eng. 2. Wir arbeiten mit dieser Firma eng
eng;estrecho, angosto,ajustado, ceñido,denso,apretado,estricto, limitado,íntimo;zusammen.
der Enkel, -;nieto(-a) m (f);Alle meine Enkel gehen schon zur Schule.
entdecken, entdeckt, entdeckte, hat entdeckt;descubrir,encontrar, hallar;Ich habe in deinem Brief noch ein paar Fehler entdeckt.
entfernt ;distante, lejano,apartado, alejado,lejano,vago;Das Hotel liegt etwa 100 m vom Strand entfernt.
die Entfernung, -en;distancia f,eliminación f,destitución f,inhabilitación f,alejamiento m;Aus dieser Entfernung ist das nicht zu erkennen.
entgegenkommen;ir [oder salir] al encuentro de,venir de frente, venir en dirección contraria,hacer concesiones, dar facilidades,convenir,ajustarse a;1. Auf dem Weg nach Hause ist mir mein Nachbar entgegengekommen. 2. Können Sie mir mit dem Preis entgegenkommen?
enthalten, enthält, enthielt, hat enthalten;contener,incluir;1. Diese Schokolade enthält nur sehr wenig Zucker. 2. Die Mehrwertsteuer ist im Preis enthalten.
entlang;a lo largo de;Gehen Sie diese Straße entlang. Dann kommen Sie direkt zum Bahnhof.
entlassen, entlässt, entließ, hat entlassen;despedir,fletar Arg, Chil, Urug,dar de alta,poner en libertad,excarcelar,soltar fam,licenciar,exonerar de,lib(e)rar de;1. Die Operation ist gut gelaufen. Wir können Sie nächste Woche aus dem Krankenhaus entlassen. 2. Die Firma hat viele Mitarbeiter entlassen.
entscheiden, entscheidet, entschied, hat entschieden;decidir sobre,resolver,fallar [oder dictar] una sentencia;1. Das kann ich nicht allein entscheiden, da muss ich erst fragen. 2. Für welchen Anzug haben Sie sich entschieden?
die Entscheidung, -en;decisión f,resolución f,fallo m;Diese wichtige Entscheidung möchte ich zuerst mit meinem Mann besprechen.
entschließen sich, entschließt sich, entschloss sich, hat sich entschlossen;"";Mein Nachbar hat sich nun doch entschlossen, sein Auto zu verkaufen.
entschlossen sein;"";Ich bin fest entschlossen, diese Ausbildung fertigzumachen.
entschuldigen, entschuldigt, entschuldigte, hat entschuldigt;disculpar, perdonar,justificar,disculpar ante por,justificar ante;1. Entschuldigen Sie bitte, dass ich Sie störe. Aber es gibt ein Problem. 2. Herr Meier lässt sich entschuldigen, er ist stark erkältet 3. Ich möchte meine Tochter ent- schuldigen. Sie ist krank und kann nicht zur Schule gehen.
die Entschuldigung, -en;disculpa f,excusa f,pretexto m,justificante m;Oh, Entschuldigung! – Macht nichts. Kein Problem.
entsorgen, entsorgt, entsorgte, hat entsorgt;eliminar,eliminar los desechos de;Wie kann ich meine alte Kaffee- maschine entsorgen?
entspannend;"";Der Urlaub war sehr entspannend.
entstehen, entsteht, entstand, ist entstanden;surgir de,originarse de,nacer de,construirse,producirse,derivarse de;1. Hier entsteht ein neues Einkaufszentrum. 2. Andere Kosten entstehen nicht.
enttäuschen, enttäuscht, enttäuschte, hat enttäuscht;decepcionar, desilusionar,frustrar;1. Das Essen hat uns enttäuscht. 2. Wir waren von dem Konzert sehr enttäuscht. 3. Das Ergebnis war enttäuschend.
die Enttäuschung, -en;desilusión f,decepción f,chasco m fam;Das Endspiel war eine große Enttäuschung.
entweder ... oder;"";Nur einer kann gewinnen, entweder du oder ich.
entwickeln, entwickelt, entwickelte, hat entwickelt;desarrollar,revelar,desprender,despedir;1. Unser Sohn entwickelt sich gut in der Schule.2. Bis wann können Sie den Film entwickeln?
die Entwicklung, -en ;desarrollo m,evolución f,formación f,desenvolvimiento m,avance m,revelado m,creación f;Genug Schlaf ist wichtig für die Entwicklung Ihres Kindes.
die Erde;tierra f,mundo m,suelo m,toma f de tierra;1. Die Pflanzen brauchen neue Erde. 2. Mein Sohn hat das Glas auf die Erde fallen lassen. 3. An der Konferenz nehmen Vertreter aus fast allen Ländern der Erde teil.
das Erdgeschoss, -e ;planta f baja;Wir wohnen im Erdgeschoss.
das Ereignis, -se;acontecimiento m,suceso m;1. Alle Zeitungen haben über diese Ereignisse berichtet. 2. Das Konzert war ein großes Ereignis.
erfahren, erfährt, erfuhr, hat erfahren;experimentado, entendido en,(llegar a) saber,enterarse de,experimentar,vivir,sufrir,padecer;Wann erfahren wir das Ergebnis der Prüfung?
die Erfahrung, -en;experiencia f,práctica f;1. Ich habe zehn Jahre Erfahrung in diesem Beruf.2. Mit diesem Gerät haben wir gute Erfahrungen gemacht.
erfinden, erfindet, erfand, hat erfunden;inventar;Der Ingenieur Rudolf Diesel hat den Dieselmotor erfunden.
die Erfindung, -en ;invención f,invento m;Die Erfindung des Dieselmotors war ein großer Erfolg.
der Erfolg, -e;éxito m,resultado m,consecuencia f,efecto m;1. Der Film war ein großer Erfolg. 2. Ich wünsche Ihnen viel Erfolg bei der Prüfung.
erfolgreich;triunfante, afortunado,eficaz,con éxito;Mein Großvater war ein erfolgreicher Geschäftsmann.
erfordern, erfordert, erforderte, hat erfordert;requerir,precisar;Dieser Job erfordert viel Kraft.
erforderlich;necesario, preciso;1. Bringen Sie bitte alle erforderlichen Unterlagen mit. 2. Persönliches Erscheinen ist erforderlich.
erfüllen, erfüllt, erfüllte, hat erfüllt;llenar de,cumplir con,cumplir,corresponder a,satisfacer,desempeñar,llenar,colmar;1. Sie müssen den Vertrag in allen Punkten erfüllen. 2. Wir erfüllen Ihnen jeden Wunsch. 3. Man kann sich nicht alle Wünsche erfüllen.
ergänzen, ergänzt, ergänzte, hat ergänzt;complementar,completar,añadir;Ergänzen Sie bitte die fehlenden Angaben.
das Ergebnis, -se;resultado m,consecuencia f;Ein so gutes Ergebnis hat uns alle überrascht.
erhalten, erhält, erhielt, hat erhalten;recibir,obtener,cobrar,conservar, mantener;Ihr Schreiben vom 3. Januar haben wir erhalten.
erhöhen, erhöht, erhöhte, hat erhöht;subir en,intensificar,aumentar,subir,elevar en un semitono;1. Die Regierung wird sicher bald wieder die Steuern erhöhen. 2. Die Zahl der Opfer hat sich auf 122 erhöht.
die Erhöhung, -en;subida f,intensificación f,aumento m,elevación f;Wir streiken für eine Lohnerhöhung.
erholen sich, erholt sich, erholte sich, hat sich erholt;"";1. Im Urlaub habe ich mich sehr gut erholt. 2. Meine Schwester hat sich nach der Geburt sehr schnell wieder erholt.
die Erholung, -en;descanso m,reposo m,restablecimiento m,recuperación f;Ich habe zu viel gearbeitet. Jetzt brauche ich etwas Erholung.
erinnern, erinnert, erinnerte, hat erinnert;recordar a;1. Bitte, erinnern Sie mich noch einmal an den Termin 2. Ich erinnere mich noch genau an Francescos Vater.
die Erinnerung, -en;memoria f,recuerdo m de,advertencia f,recuerdo m,impugnación f;An diese Zeit habe ich viele schöne Erinnerungen.
erkälten sich, erkältet sich, erkältete sich, hat sich erkältet;"";Der Junge hat sich beim Baden erkältet.
erkältet sein;"";Ich bin stark erkältet.
erkennen, erkennt, erkannte, hat erkannt;ver,distinguir,reconocer por,identificar por,reconocer,darse cuenta de,comprender,condenar a,penar con;1. Ich habe Roberto gleich an seiner Stimme erkannt. 2. Auf dem Foto kann man kaum etwas erkennen. 3. Ich habe erkannt, dass es ein Fehler war, den Kurs nicht fertigzumachen.
erklären, erklärt, erklärte, hat erklärt;explicar,interpretar,declarar,presentar;1. Kannst du mir erklären, wie man diesen Apparat bedient? 2. Ich kann mir nicht erklären, wie der Brief verschwinden konnte.
die Erklärung, -en;explicación f,interpretación f,motivo m,razón f,declaración f,comunicado m oficial;1. Die Steuererklärung müssen Sie bis Ende Mai abgeben. 2. Die Erklärung der Lehrerin ist besser als die Erklärung im Buch.
erkundigen, erkundigt, erkundigte, hat erkundigt;"";1. Hast du dich schon nach einem Zug erkundigt? 2. Ich möchte mich erkundigen, wie es Ihnen geht.
erlauben, erlaubt, erlaubte, hat erlaubt;permitir,autorizar;1. Ich erlaube meinen Kindern nicht, so lange fernzusehen. 2 Parken ist hier nicht erlaubt.
die Erlaubnis;permiso m,autorización f;Sie hätten ihn vorher um Erlaubnis bitten müssen.
erleben, erlebt, erlebte, hat erlebt;vivir,sufrir,llevarse,vivir, experimentar,ver;In unserem Urlaub haben wir viel Schönes erlebt.
das Erlebnis, -se;vivencia f,experiencia f,acontecimiento m;Die Reise war ein tolles Erlebnis.
erledigen, erledigt, erledigte, hat erledigt;hacer, llevar a cabo,resolver,liquidar, eliminar,arruinar;Diese zwei Pakete müssen zur Post. Könntest du das für mich erledigen?
erleichtern, erleichtert, erleichterte, hat erleichtert;aliviar,aligerar,facilitar;1. Ich bin erleichtert, dass alles so gut geklappt hat. 2. Das Internet erleichtert mir die Arbeit sehr.
die Ermäßigung, -en;reducción f,rebaja f,descuento m;Es gibt eine Ermäßigung für Kinder und Senioren.
ernähren, ernährt, ernährte, hat ernährt;alimentar,mantener, sustentar;1. Wie ernähre ich mich richtig? 2. Meine Eltern müssen beide arbeiten, um die Familie zu ernähren.
die Ernährung;alimentación f,sustento m;Ich finde eine gesunde Ernährung wichtig.
ernst;serio,firme,grave,solemne;Das ist ein ernstes Problem.
eröffnen, eröffnet, eröffnete, hat eröffnet;abrir,inaugurar,dar comienzo a,leer,establecer;1. Mein Nachbar hat letzten Monat ein Geschäft eröffnet. 2. Ich möchte ein Konto eröffnen. Die Eröffnung war am 1. Juni.
die Eröffnung, -en;apertura f,inauguración f,publicación f,confidencia f;1. Wenn wir uns beeilen, erreichen wir noch den 8-Uhr-Zug. 2. Bis 17 Uhr können Sie mich im Büro erreichen.3. Auf diese Art erreichen Sie bei mir gar nichts. 4. Dieser Zug erreicht eine Geschwindig- keit von 200 Kilometern.
erreichen, erreicht, erreichte, hat erreicht;localizar,alcanzar,llegar a,conseguir, lograr;Sie bekommen von unserer Firma einen Ersatz für das kaputte Gerät.
der Ersatz;sustitución f,indemnización f,recompensa f;Haben Sie für dieses Gerät Ersatzteile?
das Ersatzteil, -e;(pieza f de) repuesto m;Nach der Nachtschicht bin ich immer sehr erschöpft.
erschöpft;"";1. Entschuldigung. Ich wollte Sie nicht erschrecken. 2. Hast du mich aber erschreckt! 3. Du hast richtig krank ausgesehen.
erschrecken, erschrickt, erschrak, ist erschrocken / jdn. erschrecken, erschreckt, erschreckte, hat erschreckt;asustar, dar un susto,asustarse de,espantarse de;Ich war ganz erschrocken.
ersetzen, ersetzt, ersetzte, hat ersetzt;reemplazar por,sustituir por,cambiar por,reintegrar, reembolsar,indemnizar por;1. Wir ersetzen Ihnen die Kosten. 2. Peter ist krank. Jemand muss ihn ersetzen.
erst;primero,en primer lugar,al principio,no hasta,sólo, solamente;1. Sofia ist erst 20 Jahre alt. 2. Ich habe das erst gestern erfahren. 3. Sprich erst mit dem Arzt. 4. Erst hat mir die Arbeit gar nicht gefallen, aber jetzt habe ich mich daran gewöhnt.
erst-;"";1. Ich war zum ersten Mal allein im Urlaub. 2. Ich wohne im ersten Stock. 3. An erster Stelle kommt die Schule.
erstellen, erstellt, erstellte, hat erstellt;edificar,construir,hacer,elaborar,redactar,crear;Erstellen Sie bitte eine Liste mit allen Informationen, die Sie brauchen.
der Erwachsene, -n;"";1. Erwachsene zahlen 5 Euro, für Kinder ist der Eintritt frei. 2. Dieser Film ist nur für Erwachsene.
erwarten, erwartet, erwartete, hat erwartet;esperar,exigir;1. Ich erwarte einen Anruf aus Berlin. 2. Frau Müller erwartet ein Kind. 3. Wir hatten nichts anderes erwartet. 4. Ich kann es gar nicht erwarten, euch wiederzusehen.
erzählen, erzählt, erzählte, hat erzählt;contar, narrar;1. Mein Mann hat mir schon viel von Ihnen erzählt. 2. Ich muss meinen Kindern abends immer eine Geschichte erzählen.
erziehen, erzieht, erzog, hat erzogen;educar para,criar,enseñar;Kinder zu erziehen ist nicht leicht.
die Erziehung;educación f,enseñanza f,modales m pl;Heute kümmern sich auch viele Väter um die Erziehung der Kinder.
es;ello,él, ella,lo;1. Mein Auto muss in die Werkstatt. Es ist kaputt. 2. Wissen Sie nicht, wo Herr Müller ist? – Nein, ich weiß es nicht. 3. Es wurde schon ein Antrag auf Wohngeld gestellt. 4. Wer ist da? – Ich bin es. / Ich bin’s. 5. Mir geht es gut. 6. Ich finde es sehr nett von Ihnen, dass Sie mich abholen. 7. Es macht Spaß, zusammen ein Picknick zu machen.
essen, isst, aß, hat gegessen;comer;1. Haben Sie schon zu Mittag gegessen? 2. Ich esse gern Bananen. 3. Was gibt es heute zu essen?
das Essen, -;comida f,plato m;1. Darf ich Sie zum Essen einladen? 2. Das Essen ist kalt geworden.
der Essig;vinagre m;Am Salat fehlt noch etwas Essig.
etwa;aproximadamente, más o menos,por ejemplo,a veces, de vez en cuando,quizá, tal vez;1. Von hier sind es etwa zwanzig Kilometer. 2. Von zu Hause brauche ich etwa 10 Minuten bis zur Arbeit. 3. Du bist doch nicht etwa krank?
etwas;algo,un poco, algo;1. Ich muss dir etwas erzählen. 2. Ich habe nur Tee. Etwas anderes kann ich Ihnen leider nicht anbieten. 3. Haben Sie etwas zum Schreiben? 4. Wollen wir mit dem Nachtisch noch etwas warten? 5. So etwas habe ich noch nie gehört. 6. Ich habe etwas Gutes für dich gekocht.
eventuell;eventual, posible;Ich komme eventuell etwas später.
ewig;eterno,continuo,infinito;Ich warte schon ewig auf mein neues Auto!
der Experte, -n ;experto(-a) m (f),perito(-a) m (f);Ich verstehe ein bisschen was von Computern. Aber ich bin kein Experte.
der Export, -e;exportación f;1. Hier ist die Firma Schulz, Import und Export. 2. Sonja arbeitet in der Exportabteilung.
extra;adicional,aparte, separado,extra,especialmente,Extra-,Sonder-,erstklassig,Extra nt,Sonderleistung f,Sonderbericht m,Lohnzulage f,Extraspeise f,Extras nt pl,Sonderzubehör nt,Statist(in) m (f),Aushilfe f;1. Die Getränke kosten extra. 2. Warum sind Sie nicht gekommen?
extrem;extremo,en extremo;Ich habe extra auf Sie gewartet. Die Prüfung war extrem schwer.
die Fabrik, -en;fábrica f;Mein Sohn arbeitet in einer Autofabrik.
"das Fach, -""er";bolsillo m,casilla f,anaquel m,cajón m,ramo m,especialidad f,campo m,materia f,asignatura f;1. Die Handtücher sind im obersten Fach links. 2. Welches Fach magst du in der Schule am liebsten?
der Fachmann ;especialista m,experto m;Mein Bruder ist Computerfachmann.
die Fachleute (Pl.);"";Die Firmen suchen Fachleute für Maschinenbau.
die Fähre, -n;transbordador m,ferry m;Wir nehmen die Fähre über den Bodensee.
fahren, fährt, fuhr, ist/hat gefahren;salir,ir en,estar en marcha,pasar,circular,ir a,llevarse bien,ir por,transportar, llevar,llevar,conducir;1. Wir sind mit dem Zug gefahren. 2. Fahr nicht so schnell. 3. Der Chef fährt einen Mercedes. 4. Soll ich dich nach Hause fahren?
die Fahrbahn, -en ;vía f;Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.
der Fahrer, -;conductor(a) m (f),chófer mf,motociclista mf,ciclista mf;1. Der Fahrer des Wagens war nicht verletzt. 2. Leonid ist von Beruf Busfahrer. 3. Bitte nicht mit dem Fahrer sprechen!
die Fahrkarte, -n ;billete m,pasaje m;Fahrkarten bekommt man am Automaten.
"der Fahrplan, -""e";horario m;1. Der Fahrplan hat sich geändert. 2. Haben Sie schon den neuen Sommerfahrplan?
"das Fahrrad, -""er ";bicicleta f,bici f fam,ciclo m Cuba;Ich fahre jeden Morgen mit dem Fahrrad zur Arbeit.
die Fahrschule, -n;autoescuela f;Wenn du den Führerschein machen willst, musst du in eine Fahrschule gehen.
das Fahrzeug, -e;vehículo m;Wem gehört das Fahrzeug?
fair;correcto,justo,limpio;Ich finde, unsere Mannschaft hat sehr fair gespielt.
fallen, fällt, fiel, ist gefallen;caer,bajar, descender,recaer sobre en,entrar en,estar incluido en,penetrar, caer,ser tomado,ser fallado, ser dictado;1. Das Glas ist auf den Boden gefallen. 2. In den Bergen ist schon Schnee gefallen. 3. Die Temperatur ist ganz plötzlich unter null gefallen.
"der Fall, -""e";caída f,caso m,causa f;1. Was würden Sie in diesem Fall tun? 2. Rufen Sie auf jeden Fall vorher noch einmal an. 3. Für den Fall, dass meine Mutter aus dem Krankenhaus kommt, bleibe ich zu Hause.
fällig;pagadero, vencido,necesario;Die Rechnung ist Ende des Monats fällig.
falls;en caso de que +subj,si;Falls es regnet, machen wir kein Picknick.
falsch;equivocado, erróneo,falsificado, falso,postizo,falso, de imitación,erróneo, falso,falso, alevoso,mal;1. Tut mir leid, ich habe die falsche Nummer gewählt. 2. Meine Uhr geht falsch. 3. Was Sie da sagen, ist falsch.
die Familie, -n ;familia f;Ich habe eine große Familie.
der Familienstand;estado m civil;Bei „Familienstand“ musst du „ledig“ ankreuzen.
der Fan, -s;fan mf,aficionado(-a) m (f),hincha mf;Ich bin kein Fan von lauter Musik.
fangen, fängt, fing, hat gefangen;coger,cazar,pescar,apresar, coger;1. Das Kind hat den Ball gefangen. 2. Unsere Katze hat eine Maus gefangen.
die Fantasie, - ;fantasía f,imaginación f;Mein Sohn malt sehr gut. Er hat viel Fantasie.
die Farbe, -n;color m,tez f,pintura f,tinte m,palo m;1. Welche Farbe magst du am liebsten? 2. Diese Farbe trocknet schnell.
farbig;de colores,coloreado,de color,pintoresco, vivo;Ich brauche kein weißes, sondern farbiges Papier.
fast;casi;1. Der Zucker ist fast alle. 2. Ich habe fast alles verstanden.
faul;podrido,putrefacto,cariado,perezoso, vago,dudoso, sospechoso,moroso;1. Mein Sohn war am Anfang in der Schule sehr faul. Heute lernt er sehr fleißig. 2. Den Apfel kannst du nicht mehr essen. Der ist faul.
faxen, faxt, faxte, hat gefaxt;mandar un fax,mandar por fax,faxear;Sie können mir den Brief auch faxen.
das Fax, -e;fax m inv;Schicken Sie uns einfach ein Fax!
fehlen, fehlt, fehlte, hat gefehlt;faltar, estar ausente,faltar,ser echado de menos, faltar,pasar, tener;1. Auf dem Brief fehlt der Absender. 2. Hast du Kleingeld? Mir fehlt ein Euro. 3. In der Kasse fehlen 20 Euro. 4. Antonio war nicht in der Schule, er fehlt schon seit drei Tagen. 5. Was fehlt Ihnen? Haben Sie Schmerzen?
der Fehler, -;error m,falta f,errata f,defecto m,culpa f;1. Ich glaube, da haben Sie einen Fehler gemacht. 2. In der Werkstatt haben sie den Fehler sofort gefunden.
feiern, feiert, feierte, hat gefeiert;celebrar, festejar,elogiar, aplaudir,estar de fiesta,farrear CSur;Wir haben gestern Karls Geburtstag gefeiert.
die Feier, -n;fiesta f,festividad f,acto m solemne;Es war eine schöne Feier.
der Feierabend;fin m del trabajo,hora f de cierre;1. Einen schönen Feierabend. 2. Wann haben Sie Feierabend?
der Feiertag, -e ;día m festivo,fiesta f;1. Am Montag ist Feiertag. 2. Schöne Feiertage.
das Fenster, -;ventana f,ventanilla f;Darf ich einen Moment das Fenster aufmachen?
die Ferien (Pl.);vacaciones f pl;1. Wir machen im Sommer drei Wochen Ferien. 2. Endlich ist die Schule aus! Jetzt sind sechs Wochen Ferien.
die Fernbedienung, -en;mando m a distancia,telemando m;Hast du die Fernbedienung gesehen?
fernsehen, sieht fern, sah fern, hat ferngesehen;ver la tele(visión);Meine Kinder dürfen abends nur eine Stunde fernsehen.
das Fernsehen;televisión f;Was gibt es heute Abend im Fernsehen?
der Fernseher, -;tele f;Der Fernseher ist schon wieder kaputt.
fertig;terminado, acabado,listo,listo para,preparado para,rendido, frito;1. Das Essen ist gleich fertig. 2. Wenn ich mit der Arbeit fertig bin, gehe ich nach Hause. 3. Bist du fertig? 4. Das war ein schlimmer Tag. Ich bin total fertig.
fest;sólido, compacto,duro,robusto,fuerte,firme, inconmovible,fijo,permanente, constante,rollizo;1. Mein Kollege glaubt fest daran, dass er die neue Stelle bekommt. 2. Als wir nach Hause kamen, haben die Kinder schon fest geschlafen. 3. Für die nächste Familienfeier gibt es noch keinen festen Termin. 4. Das Eis ist noch nicht fest genug.
das Fest, -e;fiesta f,pachanga f Am: fam,milonga f And, CSur;1. Wenn ich 18 werde, feiern wir ein großes Fest. 2. Frohes Fest!
die Festplatte, -n;disco m duro;Mein Computer hat eine große Festplatte.
festhalten, hält fest, hielt fest, hat festgehalten;aferrarse a,sujetar,detener, retener,retener,fotografiar,grabar;1. Halt dich gut fest. 2. Halt die Flasche gut fest.
festlegen, legt fest, legte fest, hat festgelegt;fijar, establecer,invertir a plazo fijo,comprometer a;1. Ich weiß noch nicht, ob ich das mache. Ich möchte mich noch nicht festlegen. 2. Habt ihr den Hochzeitstermin schon festgelegt?
festnehmen, nimmt fest, nahm fest, hat festgenommen;detener, arrestar;Die Polizei hat einen Mann festgenommen.
das Festnetz;red f fija [oder terrestre];1 Hast du einen Festnetzanschluss? 2. Für Anrufe ins Festnetz gibt es einen günstigen Tarif.
festsetzen, setzt fest, setzte fest, hat festgesetzt;fijar, convenir,arrestar, encarcelar;Die Ausländerbehörde hat diesen Termin festgesetzt.
feststellen, stellt fest, stellte fest, hat festgestellt;fijar,bloquear,averiguar,diagnosticar,verificar,comprobar,constatar,manifestar,hacer constar;1. Wir konnten den Absender des Briefes nicht feststellen. 2. Der Arzt hat mich untersucht, konnte aber nichts feststellen.
fett;graso, grasiento,gordo, grueso,seboso pey,graso,lucrativo, abundante,en negrilla,guay;1. Die Wurst ist mir zu fett. 2. Das ist aber ein fetter Kater!
das Fett;grasa f;Man soll nicht so viel Fett essen.
feucht ;húmedo;1. Die Wäsche ist noch feucht. 2. Es ist heute feucht draußen.
das Feuer;fuego m,incendio m;1. Der Schaden durch das Feuer war sehr groß. 2. Haben Sie Feuer? Ist das Feuerzeug neu?
das Feuerzeug, -e die Feuerwehr, -en;encendedor m,mechero m;Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.
das Fieber ;fiebre f;Plötzlich hat meine Tochter hohes Fieber bekommen.
die Figur, -en;figura f,personaje m,pieza f,ilustración f;1. Lars hat eine gute Figur. 2. Bei diesem Spiel hat jeder Spieler vier Figuren.
der Film, -e;película f,carrete m,filme m,cine m;1. Bis wann können Sie den Film entwickeln? 2. Den Film musst du dir unbedingt ansehen.
finanzieren, finanziert, finanzierte, hat finanziert;"";Ich weiß nicht, wie ich das Auto finanzieren soll.
finanziell;financiero, económico;Finanziell geht es meinem Neffen jetzt besser.
finden, findet, fand, hat gefunden;encontrar,dar con,opinar;1. Mein Onkel hat eine gute Arbeit gefunden. 2. Ich kann meinen Schlüssel nicht finden. 3. Luigi finde ich sehr nett.
der Finger, -;dedo m;Alessandro hat sich in den Finger geschnitten.
die Firma, Firmen ;empresa f,firma f,fábrica f;Seit wann arbeiten Sie bei dieser Firma?
der Fisch, -e;pez m,pescado m,piscis m inv;1. In diesem See gibt es kaum noch Fische. 2. Fisch esse ich lieber als Fleisch.
fit;en (buena) forma;Ich halte mich durch Sport fit.
die Fitness;buena forma f;Ich tue viel für meine Fitness.
flach;llano, plano,bajo,playo CSur,poco profundo,llano,banal, superficial;1. Für die Arbeit brauche ich flache Schuhe. 2. An dieser Stelle ist der See sehr flach.
die Fläche, -n ;superficie f,terreno m,plano m,cara f;Unsere Wohnung hat eine Wohnfläche von 100 m2.
die Flasche, -n;botella f,biberón m,cero m a la izquierda,berzotas mf inv;1. Wo kann man die leeren Flaschen zurückgeben? 2. Eine Flasche Bier bitte.
der Fleck, -en ;mancha f,lugar m,sitio m;Du hast einen Fleck auf der Bluse.
das Fleisch;carne f,pulpa f,blancos m pl;Fleisch mag ich nicht.
fleißig;aplicado, trabajador,regular,con empeño, con diligencia,a menudo;Pamela ist wirklich fleißig. Sie macht immer ihre Hausaufgaben.
flexibel;flexible;Meine Arbeitszeit ist flexibel.
fliegen, fliegt, flog, ist geflogen;volar,ir en avión,ser lanzado, ser arrojado,pirrarse por,pilotar,transportar por aire,cubrir;1. Der Vogel ist auf einen Baum geflogen. 2. Diese Maschine fliegt direkt nach New York. 3. Ich bin nach Berlin geflogen.
fliehen, flieht, floh, ist geflohen;huir de,correrse,escaparse de;Der Einbrecher ist sofort geflohen.
die Flucht;huida f vor,fuga f de,punto m de fuga,serie f de habitaciones;Der Einbrecher war schon auf der Flucht.
fließen, fließt, floss, ist geflossen;fluir,correr,salir;Dieser Fluss fließt in die Nordsee.
fließend;corriente,difuso,con soltura, con fluidez;1. Mein Kollege spricht fließend Deutsch. 2. Ich hatte nur ein Zimmer mit fließendem Wasser.
"der Flug, -""e ";vuelo m;Ich habe den Flug für Sie gebucht.
"der Flughafen, -""";aeropuerto m;1. Der Flughafen liegt 30 km außerhalb. 2. Kannst du mich zum Flughafen bringen? 
das Flugzeug, -e ;avión m;Das Flugzeug ist gerade gelandet.
der Flur, -e;pasillo m,corredor m,campo m,campiña f; Warten Sie bitte auf dem Flur.
"der Fluss, -""e ";río m,flujo m,curso m; Wie heißt dieser Fluss?
die Flüssigkeit, -en;líquido m,fluidez f;1. Dieses Medikament muss man mit viel Flüssigkeit einnehmen.
folgen, folgt, folgte, ist gefolgt;seguir,seguir, continuar,deducirse de,derivarse de,obedecer;1. Es folgen die Nachrichten. 2. Folgen Sie der Reiseleiterin.
die Folge, -n;consecuencia f,repercusiones f pl,resultado m,capítulo m,número m,serie f;Wenn Sie weiter so spät kommen, hat das Folgen.
folgend;siguiente;1. Mehr Informationen auf den folgenden Seiten. 2. Sie müssen folgende Schulbücher kaufen.
die Forderung, -en;exigencia f,demanda f,requisito m,deuda f,reivindicación f;Alles wird teurer. Wir fordern deshalb von unserer Firma mehr Lohn.
fördern, fördert, förderte, hat gefördert;explotar,extraer,elevar,fomentar,promover,promocionar,impulsar,hacer prosperar,patrocinar,proteger,incentivar,favorecer,activar,explotar, extraer,fomentar, promover,patrocinar, proteger,activar, hacer prosperar,potenciar, impulsar;Die Forderung ist 10 % mehr Lohn. Das BAMF fördert diesen Kurs.
die Förderung, -en ;explotación f,extracción f,promoción f,fomento m,subsidio m,ayuda f económica;Für das Projekt bekommen wir eine Förderung von der Stadt.
die Form, -en;forma f,manera f,molde m,formas f pl,modales m pl;1. Diese Schuhe haben eine schöne Form.2. Ich möchte für den Geburtstag einen Kuchen backen. Kannst du mir eine Backform leihen?
das Formular, -e ;formulario m,impreso m;Füllen Sie bitte dieses Formular aus.
die Fortbildung, -en;perfeccionamiento m;Ich möchte nächstes Jahr in meinem Beruf eine Fortbildung machen.
der Fortschritt, -e;progreso m,mejora m;Ihre Kinder haben im Deutschen große Fortschritte gemacht.
fortsetzen, setzt fort, setzte fort, hat fortgesetzt;proseguir, continuar;Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.
die Fortsetzung, -en;continuación f;Fortsetzung folgt. 
